1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,7
10,9
11,10
12,11
13,7
14,12
15,13
16,14
17,15
18,16
19,17
20,18
21,19
22,7
23,20
24,21
25,22
26,23
27,20
28,24
29,25
30,26
31,27
32,28
33,29
34,30
35,31
36,32
37,33
38,34
39,35
40,7
41,21
42,36
43,37
44,38
45,20
46,39
47,26
48,40
49,41
50,42
51,43
52,44
53,16
54,45
55,46
56,47
57,48
58,49
59,48
60,50
61,51
62,52
63,53
64,54
65,55
66,56
67,57
68,58
69,16
70,59
71,48
72,60
73,61
74,62
75,63
76,20
77,64
78,65
79,66
80,67
81,68
82,20
83,45
84,69
85,70
86,26
87,71
88,72
89,73
90,74
91,75
92,76
93,77
94,20
95,20
96,78
97,79
98,26
99,20
100,80
101,26
102,81
103,82
104,20
105,83
106,84
107,85
108,86
109,87
110,88
111,89
112,90
113,91
114,92
115,73
116,7
117,93
118,20
119,94
120,95
121,96
122,20
123,97
124,98
125,54
126,99
127,100
128,7
129,101
130,102
131,103
132,104
133,105
134,106
135,107
136,108
137,45
138,109
139,26
140,110
141,5
142,111
143,112
144,113
145,114
146,115
147,116
148,20
149,117
150,118
151,119
152,120
153,121
154,122
155,31
156,123
157,124
158,125
159,126
160,127
161,128
162,7
163,129
164,130
165,131
166,132
167,106
168,133
169,134
170,135
171,136
172,137
173,138
174,139
175,5
176,140
177,141
178,142
179,143
180,144
181,145
182,20
183,146
184,147
185,148
186,73
187,149
188,150
189,151
190,116
191,26
192,152
193,56
194,124
195,153
196,154
197,155
198,26
199,106
200,156
201,157
202,158
203,159
204,160
205,161
206,162
207,163
208,7
209,7
210,164
211,165
212,166
213,141
214,57
215,167
216,168
217,48
218,169
219,170
220,171
221,172
222,173
223,174
224,175
225,56
226,176
227,177
228,33
229,178
230,20
231,179
232,180
233,181
234,182
235,183
236,31
237,184
238,110
239,185
240,186
241,7
242,187
243,188
244,189
245,190
246,191
247,192
248,193
249,194
250,195
251,196
252,197
253,198
254,199
255,200
256,201
257,202
258,203
259,204
260,205
261,206
262,110
263,207
264,208
265,209
266,20
267,31
268,210
269,211
270,212
271,20
272,20
273,110
274,213
275,214
276,215
277,216
278,217
279,7
280,218
281,219
282,26
283,31
284,220
285,221
286,222
287,45
288,223
289,224
290,225
291,226
292,227
293,228
294,109
295,229
296,190
297,31
298,230
299,100
300,231
301,20
302,232
303,101
304,233
305,234
306,235
307,236
308,237
309,238
310,239
311,7
312,237
313,240
314,26
315,241
316,242
317,243
318,20
319,244
320,245
321,246
322,247
323,248
324,219
325,20
326,249
327,250
328,251
329,33
330,7
331,252
332,253
333,254
334,255
335,20
336,217
337,256
338,20
339,7
340,257
341,258
342,259
343,260
344,261
345,262
346,174
347,263
348,141
349,264
350,141
351,265
352,266
353,7
354,267
355,268
356,269
357,32
358,26
359,270
360,271
361,106
362,272
363,16
364,5
365,60
366,7
367,100
368,273
369,219
370,31
371,274
372,275
373,45
374,276
375,195
376,277
377,278
378,279
379,280
380,281
381,282
382,56
383,283
384,284
385,185
386,285
387,286
388,287
389,47
390,45
391,64
392,190
393,288
394,48
395,26
396,289
397,290
398,9
399,291
400,16
401,292
402,293
403,294
404,7
405,295
406,296
407,297
408,110
409,298
410,299
411,56
412,255
413,141
414,300
415,301
416,7
417,302
418,303
419,304
420,305
421,306
422,45
423,143
424,7
425,307
426,308
427,7
428,5
429,73
430,106
431,309
432,20
433,73
434,310
435,27
436,26
437,311
438,312
439,313
440,20
441,47
442,259
443,314
444,315
445,315
446,316
447,288
448,174
449,116
450,317
451,7
452,318
453,319
454,320
455,321
456,322
457,232
458,323
459,45
460,324
461,325
462,326
463,20
464,327
465,47
466,328
467,7
468,316
469,16
470,26
471,110
472,5
473,329
474,330
475,331
476,20
477,130
478,7
479,332
480,333
481,334
482,335
483,336
484,56
485,7
486,337
487,338
488,63
489,339
490,340
491,26
492,7
493,45
494,341
495,7
496,7
497,342
498,56
499,343
500,344
501,174
502,73
503,33
504,33
505,141
506,345
507,45
508,105
509,243
510,346
511,330
512,100
513,7
514,347
515,348
516,349
517,45
518,192
519,350
520,351
521,20
522,141
523,352
524,153
525,353
526,7
527,63
528,185
529,340
530,354
531,228
532,294
533,141
534,171
535,100
536,355
537,356
538,57
539,357
540,7
541,358
542,359
543,20
544,20
545,360
546,361
547,327
548,362
549,363
550,364
551,365
552,366
553,7
554,106
555,106
556,367
557,368
558,45
559,369
560,370
561,7
562,371
563,174
564,372
565,371
566,373
