1,1,1
2,2,2
3,1,1
4,3,2
5,3,3
6,2,3
7,2,3
8,2,1
9,2,3
10,2,4
11,3,1
12,2,3
13,2,4
14,3,1
15,1,1
16,1,1
17,2,3
18,2,3
19,2,1
20,2,2
21,1,1
22,2,2
23,1,4
24,2,2
25,2,1
26,1,1
27,1,1
28,2,2
29,1,1
30,3,1
31,1,1
32,2,2
33,2,3
34,3,1
35,2,1
36,2,1
37,1,1
38,2,2
39,1,1
40,1,1
41,2,2
42,3,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,2,2
50,2,5
51,3,1
52,2,3
53,2,1
54,2,3
55,2,4
56,2,6
57,2,3
58,2,3
59,2,2
60,2,3
61,2,1
62,1,1
63,3,1
64,2,3
65,1,1
66,2,2
67,1,1
68,1,1
69,2,4
70,2,4
71,2,2
72,2,3
73,2,3
74,2,1
75,3,3
76,3,1
77,3,3
78,3,6
79,3,4
80,1,1
81,2,1
82,1,1
83,2,2
84,1,1
85,1,1
86,2,1
87,1,1
88,3,1
89,1,4
90,3,3
91,2,1
92,2,7
93,2,1
94,1,1
95,3,1
96,3,1
97,2,3
98,1,1
99,1,1
100,2,1
101,1,1
102,2,3
103,3,1
104,1,1
105,1,1
106,2,4
107,2,3
108,3,2
109,1,1
110,3,1
111,3,1
112,2,6
113,2,6
114,1,1
115,2,1
116,1,1
117,1,1
118,1,1
119,1,1
120,3,2
121,1,1
122,2,1
123,1,1
124,2,1
125,2,2
126,2,2
127,1,1
128,2,1
129,2,1
130,2,1
131,1,1
132,3,1
133,3,2
134,1,6
135,1,1
136,3,1
137,2,2
138,2,6
139,1,1
140,2,2
141,2,6
142,2,3
143,2,2
144,2,1
145,2,2
146,2,3
147,2,2
148,1,1
149,2,3
150,1,1
151,2,1
152,1,3
153,2,2
154,2,2
155,2,4
156,1,4
157,2,1
158,2,3
159,2,6
160,2,3
161,1,1
162,2,2
163,1,4
164,2,6
165,1,1
166,2,4
167,2,6
168,2,6
169,1,1
170,2,6
171,2,4
172,1,1
173,2,2
174,1,1
175,2,2
176,3,1
177,2,1
178,2,3
179,2,3
180,1,1
181,2,2
182,1,1
183,2,2
184,1,1
185,2,6
186,2,2
187,2,3
188,2,1
189,1,1
190,2,1
191,1,1
192,3,1
193,2,4
194,2,3
195,1,1
196,2,3
197,1,1
198,1,1
199,2,6
200,2,2
201,2,2
202,1,1
203,2,4
204,1,1
205,1,1
206,3,1
207,2,2
208,2,6
209,1,1
210,3,1
211,1,2
212,3,2
213,2,1
214,1,1
215,1,4
216,2,4
217,2,4
218,3,1
219,2,3
220,2,4
221,2,6
222,2,4
223,1,2
224,2,3
225,2,6
226,1,1
227,1,1
228,1,1
229,3,1
230,1,1
231,2,1
232,1,1
233,1,1
234,3,2
235,1,1
236,2,1
237,2,1
238,3,4
239,2,3
240,1,1
241,2,3
242,3,4
243,2,3
244,1,1
245,2,3
246,2,6
247,2,1
248,2,3
249,1,4
250,2,1
251,1,1
252,2,3
253,2,4
254,2,4
255,1,1
256,1,1
257,2,3
258,1,1
259,2,3
260,1,1
261,2,3
262,1,1
263,3,4
264,2,1
265,2,1
266,1,1
267,1,1
268,1,1
269,2,4
270,3,3
271,2,1
272,1,1
273,2,1
274,2,2
275,1,1
276,1,1
277,2,3
278,2,3
279,2,4
280,2,3
281,2,3
282,2,1
283,2,1
284,1,1
285,2,3
286,2,6
287,2,6
288,2,1
289,2,4
290,2,6
291,1,1
292,2,3
293,2,1
294,2,2
295,1,1
296,2,4
297,1,1
298,2,6
299,1,1
300,2,3
301,1,1
302,3,1
303,1,1
304,2,2
305,2,3
306,2,3
307,1,1
308,1,1
309,1,1
310,2,3
311,1,1
312,1,1
313,2,1
314,1,1
315,1,1
316,2,7
317,2,4
318,1,1
319,2,3
320,1,1
321,1,1
322,1,1
323,4,1
324,2,1
325,2,1
326,2,2
327,1,1
328,4,1
329,1,1
330,1,1
331,2,4
332,1,1
333,1,1
334,3,1
335,1,1
336,2,7
337,1,1
338,1,1
339,2,3
340,1,1
341,2,5
342,2,2
343,2,1
344,2,2
345,2,4
346,1,1
347,3,1
348,1,1
349,1,1
350,1,1
351,1,1
352,1,1
353,1,6
354,2,4
355,2,2
356,2,3
357,1,1
358,1,1
359,1,1
360,2,1
361,2,6
362,2,2
363,1,1
364,2,3
365,2,1
366,3,1
367,2,1
368,2,6
369,2,2
370,1,1
371,2,1
372,2,2
373,2,2
374,4,1
375,2,1
376,2,2
377,2,1
378,1,1
379,2,3
380,1,1
381,1,1
382,2,6
383,2,1
384,2,1
385,2,3
386,2,3
387,2,2
388,2,1
389,2,6
390,2,6
391,2,3
392,2,1
393,2,4
394,1,1
395,1,1
396,2,1
397,2,4
398,2,3
399,1,1
400,1,1
401,1,1
402,2,1
403,2,1
404,1,1
405,2,2
406,1,1
407,1,1
408,2,1
409,1,1
410,2,1
411,1,1
412,1,1
413,1,1
414,1,1
415,2,1
416,2,1
417,2,1
418,2,4
419,1,1
420,2,2
421,2,2
